Word,Total Count,File Counts
2017,15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
concept,15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
headphones,14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
which,14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
plays,14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
",",14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
matrix,14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
beam,14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"performance,",14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
close-up,14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
their,14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"kyiv,",14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2016:,14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
show.,14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
sunny,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
she,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
cheerful,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
beach,13,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
2019,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
stage.,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
play,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
smoke,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]"
legs,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
day,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
guy,13,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
–,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
camera,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
around,13,"[1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1]"
park,13,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]"
october,13,"[1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]"
crowd,13,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
moving,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
hip,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
school,13,"[1, 1, 1, 2, 1, 1, 2, 1, 1, 2]"
playing,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
dressed,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
that,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
sing,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
time,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
great,12,"[2, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
neon,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
outdoor,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
style,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
/,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
dec,12,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 2]"
classical,12,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]"
light.,12,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
year,12,"[1, 1, 2, 1, 1, 1, 1, 2, 1, 1]"
together,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
celebrating,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
over,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
have,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
ethnic,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
christmas,11,"[1, 1, 2, 1, 1, 2, 1, 1, 1]"
isolated,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
asian,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
sitting,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
showing,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
dark,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
body,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2016,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
face,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
national,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
bright,11,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
december,11,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1]"
freestyle,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
sunset,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
screen,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
boys,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
making,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
hop,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"21,",11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"15,",11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
preparing,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
concept.,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
ultra,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
listening,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
public,10,"[1, 1, 1, 2, 1, 1, 1, 1, 1]"
top,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
clothes,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
live,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
musical,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
hand,10,"[1, 2, 1, 1, 1, 1, 1, 1, 1]"
culture,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
oriental,10,"[1, 1, 1, 1, 1, 1, 1, 1, 2]"
caucasian,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"hd,",10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
dmx,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
theatre,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
floor.,10,"[2, 1, 1, 1, 1, 1, 1, 1, 1]"
portrait,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
feet,10,"[2, 1, 1, 1, 1, 1, 1, 1, 1]"
pointe,10,"[2, 1, 1, 1, 1, 1, 1, 1, 1]"
thailand.,10,"[1, 1, 1, 1, 1, 2, 1, 1, 1]"
"22,",10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
business,10,"[1, 1, 1, 1, 1, 1, 1, 2, 1]"
night.,10,"[1, 1, 1, 1, 1, 1, 2, 1, 1]"
"show,",10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
sri,10,"[2, 2, 2, 2, 2]"
mask,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
fluorescent,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
suit,10,"[1, 1, 1, 1, 2, 1, 1, 1, 1]"
uv,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
back,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
"phangan,",9,"[1, 2, 1, 1, 2, 2]"
party.,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
york,9,"[1, 1, 1, 1, 1, 1, 1, 2]"
spain,9,"[1, 1, 1, 1, 1, 1, 1, 2]"
japanese,9,"[2, 1, 1, 1, 1, 1, 1, 1]"
art,9,"[1, 1, 1, 1, 2, 1, 1, 1]"
filmed,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
artist,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
video.,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
golden,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
annual,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
"backgrounds,",9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
"bali,",9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
artistic,9,"[1, 3, 1, 1, 1, 2]"
beach.,9,"[1, 1, 1, 1, 1, 2, 1, 1]"
brunette,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
open,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
poses,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
2013:,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
joyful,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
mirror,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
boy,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
choreography,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
"kherson,",9,"[1, 1, 1, 1, 1, 2, 2]"
dancing.,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
weekend,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
smiling,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
"party,",9,"[1, 1, 2, 1, 1, 1, 1, 1]"
handsome,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
nightclub,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
circus,9,"[1, 1, 1, 1, 1, 1, 3]"
‘tari,9,"[3, 3, 3]"
events,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
square,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
thai,9,"[1, 1, 1, 3, 1, 1, 1]"
rehearsing,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
full,8,"[1, 1, 1, 2, 1, 1, 1]"
"city,",8,"[1, 1, 1, 1, 1, 1, 2]"
event,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
carnival,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
has,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
3d,8,"[1, 2, 1, 1, 1, 1, 1]"
pretty,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
large,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
2012,8,"[1, 1, 1, 2, 1, 1, 1]"
russia.,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
floodlight,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
dragon,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
can,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
dancers.,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
2015,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
tutu,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
morning,8,"[1, 2, 1, 1, 1, 1, 1]"
movements,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
they,8,"[1, 3, 1, 1, 1, 1]"
"motion,",8,"[1, 1, 1, 1, 1, 1, 1, 1]"
canada,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
one,8,"[1, 1, 2, 1, 1, 1, 1]"
tango,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
bride,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
groom,8,"[1, 1, 1, 1, 1, 2, 1]"
spinning,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
part,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
indian,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
guys,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
forest,8,"[1, 1, 1, 3, 1, 1]"
"berdyansk,",8,"[1, 1, 2, 1, 2, 1]"
out,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
flashing,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
holiday,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
hall,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
world,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
rock,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
posing,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
old,8,"[1, 1, 1, 1, 1, 2, 1]"
car,8,"[1, 1, 1, 1, 1, 2, 1]"
family,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
clothing,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
down,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
gym,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
quality,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
club.,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
vintage,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
koh,7,"[1, 2, 2, 2]"
youth,7,"[1, 1, 1, 1, 1, 1, 1]"
moon,7,"[1, 1, 2, 1, 1, 1]"
does,7,"[1, 1, 1, 1, 1, 1, 1]"
circles,7,"[1, 1, 1, 1, 1, 1, 1]"
band,7,"[1, 2, 1, 1, 1, 1]"
style.,7,"[2, 2, 1, 1, 1]"
event.,7,"[1, 1, 1, 1, 1, 1, 1]"
smartphone,7,"[1, 1, 1, 1, 1, 1, 1]"
music.,7,"[1, 1, 1, 1, 1, 1, 1]"
color,7,"[1, 1, 1, 1, 1, 1, 1]"
buddhist,7,"[1, 1, 1, 1, 1, 1, 1]"
sparkling,7,"[1, 1, 1, 1, 1, 1, 1]"
"tokyo,",7,"[1, 1, 1, 1, 1, 1, 1]"
japan,7,"[1, 1, 1, 1, 1, 1, 1]"
walking,7,"[1, 1, 1, 1, 1, 1, 1]"
starting,7,"[1, 1, 1, 1, 1, 2]"
jan,7,"[1, 1, 1, 1, 1, 2]"
"27,",7,"[1, 1, 1, 1, 1, 1, 1]"
halogen,7,"[1, 1, 1, 1, 1, 1, 1]"
lamp,7,"[1, 2, 1, 1, 1, 1]"
years.,7,"[1, 1, 1, 1, 1, 1, 1]"
be,7,"[1, 1, 1, 1, 1, 1, 1]"
very,7,"[1, 1, 1, 1, 1, 1, 1]"
using,7,"[1, 1, 1, 1, 1, 1, 1]"
classic,7,"[1, 1, 1, 1, 1, 1, 1]"
retro,7,"[1, 1, 1, 1, 1, 1, 1]"
blurred,7,"[1, 1, 1, 2, 2]"
jumping,7,"[1, 1, 1, 1, 1, 1, 1]"
day.,7,"[1, 1, 1, 1, 1, 1, 1]"
lion,7,"[1, 1, 1, 1, 1, 1, 1]"
sensual,7,"[1, 1, 1, 1, 1, 1, 1]"
outdoors,7,"[1, 1, 1, 1, 1, 1, 1]"
kitchen,7,"[1, 2, 1, 1, 1, 1]"
through,7,"[1, 1, 1, 1, 1, 1, 1]"
participants,7,"[1, 1, 1, 1, 1, 1, 1]"
2012:,7,"[1, 1, 1, 1, 1, 1, 1]"
break,7,"[1, 1, 1, 1, 1, 1, 1]"
center,7,"[1, 1, 1, 1, 1, 1, 1]"
american,7,"[1, 1, 1, 1, 1, 1, 1]"
theater,7,"[1, 1, 1, 1, 1, 1, 1]"
wide,7,"[1, 1, 1, 1, 1, 1, 1]"
dramatic,7,"[1, 1, 2, 2, 1]"
lady,7,"[1, 1, 1, 1, 1, 1, 1]"
standing,7,"[1, 1, 1, 1, 1, 1, 1]"
three,7,"[1, 1, 1, 1, 1, 1, 1]"
friends,7,"[1, 1, 1, 1, 1, 1, 1]"
unidentified,7,"[1, 1, 1, 1, 1, 1, 1]"
holding,7,"[1, 1, 1, 1, 1, 1, 1]"
"09,",7,"[1, 1, 1, 1, 1, 1, 1]"
hat,7,"[1, 1, 2, 1, 1, 1]"
small,7,"[1, 1, 1, 1, 1, 1, 1]"
blinking,7,"[1, 1, 1, 1, 1, 1, 1]"
sings,7,"[1, 1, 1, 1, 1, 1, 1]"
underwater,7,"[1, 1, 1, 1, 2, 1]"
blonde,7,"[1, 1, 1, 1, 1, 1, 1]"
father,7,"[1, 1, 1, 2, 1, 1]"
"26,",7,"[1, 1, 1, 1, 1, 1, 1]"
house,7,"[1, 1, 1, 1, 1, 1, 1]"
clip,7,"[1, 1, 1, 1, 1, 2]"
nightclub.,7,"[1, 1, 1, 1, 1, 1, 1]"
exotic,6,"[1, 1, 1, 1, 1, 1]"
"19,",6,"[1, 1, 1, 1, 1, 1]"
"13,",6,"[1, 1, 1, 1, 1, 1]"
2014:,6,"[1, 1, 1, 1, 1, 1]"
cultural,6,"[1, 1, 1, 1, 1, 1]"
paint,6,"[1, 1, 1, 1, 1, 1]"
scenery,6,"[1, 1, 1, 1, 1, 1]"
balinese,6,"[1, 1, 1, 1, 1, 1]"
air,6,"[1, 1, 1, 1, 1, 1]"
bulgaria,6,"[1, 1, 1, 1, 1, 1]"
"18,",6,"[1, 1, 1, 1, 1, 1]"
salsa,6,"[1, 1, 1, 1, 1, 1]"
performed,6,"[1, 1, 1, 1, 1, 1]"
gold,6,"[1, 1, 1, 1, 1, 1]"
hot,6,"[1, 1, 1, 1, 1, 1]"
united,6,"[1, 1, 1, 1, 1, 1]"
wedding,6,"[1, 1, 2, 1, 1]"
"20,",6,"[1, 1, 1, 1, 1, 1]"
elements,6,"[1, 1, 1, 1, 2]"
yellow,6,"[1, 1, 1, 1, 1, 1]"
among,6,"[1, 1, 1, 1, 1, 1]"
street.,6,"[1, 1, 1, 1, 1, 1]"
creative,6,"[1, 1, 1, 1, 1, 1]"
unique,6,"[1, 1, 1, 1, 2]"
sports,6,"[1, 1, 1, 1, 1, 1]"
"festival,",6,"[1, 1, 1, 1, 1, 1]"
"30,",6,"[1, 1, 1, 1, 1, 1]"
work,6,"[1, 1, 1, 1, 1, 1]"
into,6,"[1, 1, 1, 1, 1, 1]"
fantastic,6,"[1, 1, 1, 1, 1, 1]"
dancer.,6,"[1, 1, 1, 1, 1, 1]"
"dancer,",6,"[1, 1, 1, 1, 1, 1]"
halloween,6,"[1, 1, 1, 1, 1, 1]"
"studio,",6,"[1, 1, 1, 1, 1, 1]"
hall.,6,"[1, 1, 1, 1, 1, 1]"
seamless,6,"[1, 1, 1, 1, 1, 1]"
pool,6,"[1, 1, 1, 1, 1, 1]"
winter,6,"[1, 1, 1, 1, 1, 1]"
guidance,6,"[1, 1, 1, 1, 1, 1]"
fountains,6,"[1, 1, 1, 1, 1, 1]"
china,6,"[1, 1, 1, 2, 1]"
ritual,6,"[1, 1, 1, 1, 1, 1]"
called,6,"[2, 2, 1, 1]"
also,6,"[1, 1, 1, 1, 1, 1]"
south,6,"[1, 1, 1, 1, 1, 1]"
spot,6,"[1, 1, 1, 1, 1, 1]"
blinder,6,"[1, 1, 1, 1, 1, 1]"
fashion.,6,"[1, 1, 1, 1, 1, 1]"
cyber,6,"[1, 1, 1, 1, 1, 1]"
raver,6,"[1, 1, 1, 1, 1, 1]"
focus,6,"[1, 1, 1, 1, 1, 1]"
4k.,6,"[1, 1, 1, 1, 1, 1]"
energetic,6,"[1, 1, 1, 1, 1, 1]"
holi,6,"[3, 1, 1, 1]"
shot.,6,"[1, 1, 1, 1, 1, 1]"
kids,6,"[1, 1, 1, 1, 1, 1]"
puppet,6,"[1, 1, 1, 1, 1, 1]"
child,6,"[1, 1, 1, 2, 1]"
shiny,6,"[1, 1, 1, 1, 1, 1]"
alexa,6,"[1, 1, 1, 1, 1, 1]"
shows,6,"[1, 1, 1, 1, 1, 1]"
performers,6,"[1, 1, 1, 1, 1, 1]"
acrobatic,6,"[1, 1, 1, 1, 1, 1]"
santa,6,"[2, 1, 1, 1, 1]"
blond,6,"[1, 1, 1, 1, 1, 1]"
healthy,5,"[2, 1, 1, 1]"
hd,5,"[1, 1, 1, 1, 1]"
burning,5,"[1, 1, 1, 1, 1]"
makes,5,"[1, 1, 1, 1, 1]"
italy,5,"[2, 1, 1, 1]"
free,5,"[1, 1, 1, 1, 1]"
flowers,5,"[1, 1, 1, 1, 1]"
choise,5,"[1, 1, 1, 1, 1]"
"koenji,",5,"[1, 1, 1, 1, 1]"
25,5,"[1, 1, 1, 1, 1]"
awa,5,"[1, 1, 1, 1, 1]"
odori,5,"[1, 1, 1, 1, 1]"
famous,5,"[1, 1, 1, 1, 1]"
elegant,5,"[1, 1, 1, 1, 1]"
27:,5,"[1, 1, 1, 1, 1]"
theatrical,5,"[1, 1, 1, 1, 1]"
headlamp,5,"[1, 1, 1, 1, 1]"
"08,",5,"[1, 1, 1, 1, 1]"
capital,5,"[1, 1, 1, 1, 1]"
birthday,5,"[1, 1, 1, 1, 1]"
"dancers,",5,"[1, 1, 1, 1, 1]"
animators,5,"[1, 1, 1, 1, 1]"
used,5,"[1, 1, 1, 1, 1]"
flying,5,"[1, 1, 1, 1, 1]"
different,5,"[1, 1, 1, 1, 1]"
all,5,"[1, 1, 1, 1, 1]"
breakdance,5,"[1, 1, 1, 1, 1]"
urban,5,"[1, 1, 1, 1, 1]"
space,5,"[1, 1, 1, 1, 1]"
10,5,"[1, 1, 1, 2]"
shoes.,5,"[1, 1, 1, 1, 1]"
26,5,"[1, 2, 2]"
silhouette.,5,"[1, 1, 1, 1, 1]"
"10,",5,"[1, 1, 1, 1, 1]"
indonesian,5,"[1, 1, 1, 1, 1]"
water,5,"[1, 1, 1, 1, 1]"
lesson,5,"[1, 1, 1, 1, 1]"
shining,5,"[1, 1, 1, 1, 1]"
pair,5,"[1, 1, 1, 1, 1]"
super,5,"[1, 1, 1, 1, 1]"
actor,5,"[2, 1, 1, 1]"
silver,5,"[1, 1, 1, 1, 1]"
flower,5,"[1, 1, 1, 1, 1]"
2019.,5,"[1, 1, 1, 1, 1]"
another,5,"[1, 1, 1, 1, 1]"
2013,5,"[1, 1, 1, 1, 1]"
"temple,",5,"[1, 1, 1, 1, 1]"
festive,5,"[1, 1, 1, 1, 1]"
giving,5,"[1, 1, 1, 1, 1]"
room.,5,"[1, 1, 1, 2]"
forest.,5,"[1, 1, 1, 1, 1]"
road,5,"[1, 1, 1, 1, 1]"
aug,5,"[1, 1, 1, 1, 1]"
fiery,5,"[1, 1, 1, 1, 1]"
lines,5,"[1, 1, 1, 1, 1]"
graphic,5,"[1, 1, 1, 1, 1]"
2016.,5,"[1, 1, 1, 1, 1]"
film,5,"[2, 1, 1, 1]"
"september,",5,"[1, 1, 1, 1, 1]"
low,5,"[1, 1, 1, 1, 1]"
"14,",5,"[2, 1, 1, 1]"
jazz,5,"[1, 1, 1, 1, 1]"
purple,5,"[1, 1, 1, 1, 1]"
start,5,"[1, 1, 1, 1, 1]"
race,5,"[1, 1, 1, 1, 1]"
go-go,5,"[1, 1, 1, 1, 1]"
"loop,",5,"[1, 1, 1, 1, 1]"
dances.,5,"[1, 1, 1, 1, 1]"
sits,5,"[1, 2, 1, 1]"
hula,5,"[1, 1, 1, 1, 1]"
good,5,"[1, 1, 1, 1, 1]"
entertainment.,5,"[1, 1, 1, 1, 1]"
tourists,5,"[1, 1, 1, 1, 1]"
latin,5,"[1, 1, 1, 1, 1]"
smiles,5,"[1, 1, 1, 1, 1]"
closeup,5,"[1, 1, 1, 1, 1]"
couples,5,"[1, 1, 1, 1, 1]"
animated,5,"[1, 1, 1, 1, 1]"
who,5,"[1, 1, 1, 1, 1]"
positive,5,"[1, 1, 1, 1, 1]"
tree,5,"[1, 1, 1, 1, 1]"
snow,5,"[2, 1, 1, 1]"
teenage,5,"[1, 1, 1, 1, 1]"
gray,5,"[1, 1, 1, 1, 1]"
federation,5,"[1, 1, 1, 1, 1]"
mother,5,"[1, 1, 1, 1, 1]"
microphone,5,"[1, 1, 1, 1, 1]"
parade,5,"[1, 1, 1, 1, 1]"
dresses,5,"[1, 1, 1, 1, 1]"
"event,",5,"[1, 1, 1, 1, 1]"
town,5,"[1, 1, 1, 1, 1]"
luxury,5,"[1, 1, 1, 1, 1]"
shape,5,"[1, 1, 1, 1, 1]"
stretch,5,"[1, 1, 1, 1, 1]"
"3,",5,"[1, 1, 1, 1, 1]"
song,5,"[2, 1, 1, 1]"
tribal,5,"[1, 1, 1, 1, 1]"
hands.,5,"[1, 1, 1, 1, 1]"
students,5,"[1, 1, 1, 1, 1]"
ballerinas,5,"[3, 1, 1]"
learn,5,"[1, 1, 1, 1, 1]"
romantic,5,"[1, 1, 1, 1, 1]"
universal,5,"[1, 1, 1, 1, 1]"
dynamic,5,"[1, 1, 1, 1, 1]"
"music,",5,"[1, 1, 1, 1, 1]"
27,5,"[1, 1, 1, 1, 1]"
engaged,5,"[1, 1, 1, 1, 1]"
khajuraho,5,"[2, 1, 1, 1]"
24,5,"[1, 1, 1, 1, 1]"
how,5,"[1, 1, 1, 1, 1]"
element,5,"[1, 1, 1, 1, 1]"
cinema,5,"[1, 1, 1, 1, 1]"
person,5,"[1, 1, 1, 1, 1]"
passionate,5,"[1, 2, 1, 1]"
children's,5,"[1, 1, 1, 1, 1]"
ballroom,5,"[1, 1, 1, 1, 1]"
arri,5,"[1, 1, 1, 1, 1]"
chair,5,"[1, 1, 1, 2]"
arab,5,"[2, 1, 1, 1]"
lifestyle,5,"[1, 1, 1, 1, 1]"
shapes,5,"[1, 1, 1, 1, 1]"
office,5,"[1, 2, 1, 1]"
prores,5,"[1, 1, 1, 1, 1]"
fitness,5,"[1, 1, 1, 1, 1]"
de,5,"[1, 1, 1, 2]"
natural,4,"[1, 1, 1, 1]"
park.,4,"[2, 1, 1]"
spanish,4,"[1, 1, 1, 1]"
wind,4,"[1, 1, 1, 1]"
various,4,"[1, 1, 1, 1]"
screen.,4,"[1, 1, 1, 1]"
several,4,"[1, 1, 1, 1]"
class.,4,"[1, 1, 1, 1]"
holds,4,"[1, 1, 1, 1]"
moves.,4,"[1, 1, 1, 1]"
phone,4,"[1, 1, 1, 1]"
record,4,"[1, 1, 1, 1]"
take,4,"[1, 1, 1, 1]"
splashes,4,"[2, 2]"
ready,4,"[1, 1, 1, 1]"
along,4,"[1, 1, 1, 1]"
evening,4,"[1, 1, 1, 1]"
beauty,4,"[1, 1, 1, 1]"
abundance,4,"[1, 1, 1, 1]"
real,4,"[1, 1, 1, 1]"
techno,4,"[1, 1, 1, 1]"
tokushima,4,"[1, 1, 1, 1]"
prefecture.,4,"[1, 1, 1, 1]"
spotlight,4,"[1, 1, 1, 1]"
covered,4,"[1, 1, 1, 1]"
pub,4,"[1, 1, 1, 1]"
"singers,",4,"[1, 1, 1, 1]"
master,4,"[1, 1, 1, 1]"
love,4,"[1, 1, 1, 1]"
movement,4,"[1, 1, 1, 1]"
shoot,4,"[1, 1, 1, 1]"
move,4,"[1, 1, 1, 1]"
